d,g,o,h,l,c,w,t
2024.01.24,01:00,16685.00000,16690.00000,16684.40000,16690.00000,58,-15
2024.01.24,01:06,16690.00000,16695.00000,16689.40000,16695.00000,46,15
2024.01.24,01:12,16690.00000,16699.40000,16685.00000,16685.00000,297,-15
2024.01.24,02:15,16690.00000,16695.00000,16683.30000,16695.00000,20,15
2024.01.24,02:16,16695.00000,16700.00000,16688.40000,16700.00000,177,-15
2024.01.24,02:52,16700.00000,16705.00000,16699.40000,16705.00000,35,-15
2024.01.24,02:58,16700.00000,16706.90000,16695.00000,16695.00000,88,15
2024.01.24,03:07,16695.00000,16695.00000,16690.00000,16690.00000,22,-15
2024.01.24,03:10,16695.00000,16700.00000,16688.90000,16700.00000,41,15
2024.01.24,03:14,16700.00000,16705.00000,16694.40000,16705.00000,179,15
2024.01.24,03:32,16705.00000,16710.00000,16695.40000,16710.00000,557,15
2024.01.24,04:35,16710.00000,16715.00000,16705.40000,16715.00000,134,-15
2024.01.24,04:59,16715.00000,16720.00000,16713.90000,16720.00000,76,15
2024.01.24,05:06,16720.00000,16725.00000,16719.40000,16725.00000,72,15
2024.01.24,05:10,16725.00000,16730.00000,16721.40000,16730.00000,40,15
2024.01.24,05:17,16730.00000,16735.00000,16728.40000,16735.00000,53,-15
2024.01.24,05:23,16730.00000,16737.90000,16725.00000,16725.00000,134,15
2024.01.24,05:39,16730.00000,16735.00000,16723.40000,16735.00000,309,-15
2024.01.24,06:22,16735.00000,16740.00000,16735.00000,16740.00000,83,15
2024.01.24,06:42,16740.00000,16745.00000,16733.40000,16745.00000,332,15
2024.01.24,07:34,16745.00000,16750.00000,16738.90000,16750.00000,247,-15
2024.01.24,08:00,16750.00000,16755.00000,16750.00000,16755.00000,2,-15
2024.01.24,08:00,16755.00000,16760.00000,16755.00000,16760.00000,3,15
2024.01.24,08:00,16760.00000,16765.00000,16760.00000,16765.00000,10,15
2024.01.24,08:00,16760.00000,16768.40000,16755.00000,16755.00000,26,-15
2024.01.24,08:00,16755.00000,16755.00000,16750.00000,16750.00000,17,15
2024.01.24,08:00,16750.00000,16758.40000,16745.00000,16745.00000,59,-15
2024.01.24,08:02,16745.00000,16753.40000,16740.00000,16740.00000,504,-15
2024.01.24,08:32,16745.00000,16750.00000,16738.40000,16750.00000,313,15
2024.01.24,09:01,16750.00000,16755.00000,16741.20000,16755.00000,108,15
2024.01.24,09:06,16750.00000,16758.20000,16745.00000,16745.00000,89,-15
2024.01.24,09:10,16750.00000,16755.00000,16742.20000,16755.00000,108,-15
2024.01.24,09:17,16755.00000,16760.00000,16747.20000,16760.00000,89,-15
2024.01.24,09:22,16760.00000,16765.00000,16752.20000,16765.00000,173,-15
2024.01.24,09:32,16765.00000,16770.00000,16763.20000,16770.00000,15,15
2024.01.24,09:32,16770.00000,16775.00000,16761.20000,16775.00000,88,15
2024.01.24,09:36,16775.00000,16780.00000,16775.00000,16780.00000,21,-15
2024.01.24,09:36,16780.00000,16785.00000,16774.20000,16785.00000,129,15
2024.01.24,09:43,16785.00000,16790.00000,16784.20000,16790.00000,22,15
2024.01.24,09:44,16790.00000,16795.00000,16790.00000,16795.00000,13,15
2024.01.24,09:44,16790.00000,16799.20000,16785.00000,16785.00000,266,-15
2024.01.24,09:52,16785.00000,16785.20000,16780.00000,16780.00000,20,15
2024.01.24,09:53,16780.00000,16780.20000,16775.00000,16775.00000,30,-15
2024.01.24,09:54,16780.00000,16785.00000,16770.20000,16785.00000,213,-15
2024.01.24,10:00,16785.00000,16790.00000,16785.00000,16790.00000,8,15
2024.01.24,10:00,16790.00000,16795.00000,16790.00000,16795.00000,20,15
2024.01.24,10:00,16795.00000,16800.00000,16795.00000,16800.00000,3,-15
2024.01.24,10:00,16800.00000,16805.00000,16800.00000,16805.00000,12,-15
2024.01.24,10:00,16800.00000,16809.20000,16795.00000,16795.00000,71,-15
2024.01.24,10:00,16795.00000,16802.20000,16790.00000,16790.00000,219,-15
2024.01.24,10:02,16795.00000,16800.00000,16785.40000,16800.00000,27,15
2024.01.24,10:02,16800.00000,16805.00000,16800.00000,16805.00000,4,15
2024.01.24,10:02,16805.00000,16810.00000,16797.20000,16810.00000,57,-15
2024.01.24,10:03,16810.00000,16815.00000,16808.20000,16815.00000,18,15
2024.01.24,10:03,16815.00000,16820.00000,16815.00000,16820.00000,8,15
2024.01.24,10:03,16815.00000,16823.20000,16810.00000,16810.00000,85,15
2024.01.24,10:03,16810.00000,16810.00000,16805.00000,16805.00000,8,-15
2024.01.24,10:04,16810.00000,16815.00000,16802.20000,16815.00000,226,15
2024.01.24,10:05,16815.00000,16820.00000,16807.20000,16820.00000,68,-15
2024.01.24,10:06,16820.00000,16825.00000,16816.20000,16825.00000,37,-15
2024.01.24,10:06,16820.00000,16825.20000,16815.00000,16815.00000,135,15
2024.01.24,10:07,16815.00000,16815.00000,16810.00000,16810.00000,17,15
2024.01.24,10:08,16815.00000,16820.00000,16806.20000,16820.00000,274,-15
2024.01.24,10:10,16820.00000,16825.00000,16818.20000,16825.00000,18,-15
2024.01.24,10:11,16820.00000,16825.20000,16815.00000,16815.00000,162,-15
2024.01.24,10:13,16815.00000,16817.20000,16810.00000,16810.00000,44,-15
2024.01.24,10:14,16815.00000,16820.00000,16809.20000,16820.00000,28,15
2024.01.24,10:15,16820.00000,16825.00000,16814.20000,16825.00000,184,15
2024.01.24,10:17,16825.00000,16830.00000,16824.20000,16830.00000,35,-15
2024.01.24,10:18,16825.00000,16830.20000,16820.00000,16820.00000,64,15
2024.01.24,10:18,16820.00000,16821.20000,16815.00000,16815.00000,21,15
2024.01.24,10:18,16815.00000,16815.20000,16810.00000,16810.00000,16,15
2024.01.24,10:19,16810.00000,16813.20000,16805.00000,16805.00000,23,-15
2024.01.24,10:19,16810.00000,16815.00000,16800.20000,16815.00000,315,15
2024.01.24,10:23,16810.00000,16816.20000,16805.00000,16805.00000,58,-15
2024.01.24,10:23,16805.00000,16808.20000,16800.00000,16800.00000,67,-15
2024.01.24,10:24,16800.00000,16802.20000,16795.00000,16795.00000,48,15
2024.01.24,10:25,16795.00000,16799.20000,16790.00000,16790.00000,124,15
2024.01.24,10:27,16795.00000,16800.00000,16787.20000,16800.00000,86,-15
2024.01.24,10:30,16800.00000,16805.00000,16800.00000,16805.00000,6,-15
2024.01.24,10:30,16805.00000,16810.00000,16800.20000,16810.00000,127,-15
2024.01.24,10:32,16810.00000,16815.00000,16807.20000,16815.00000,106,-15
2024.01.24,10:33,16815.00000,16820.00000,16809.20000,16820.00000,72,15
2024.01.24,10:35,16815.00000,16823.20000,16810.00000,16810.00000,283,15
2024.01.24,10:39,16810.00000,16810.20000,16805.00000,16805.00000,45,-15
2024.01.24,10:40,16805.00000,16807.20000,16800.00000,16800.00000,46,15
2024.01.24,10:41,16800.00000,16806.20000,16795.00000,16795.00000,171,15
2024.01.24,10:44,16795.00000,16795.20000,16790.00000,16790.00000,6,15
2024.01.24,10:44,16790.00000,16791.20000,16785.00000,16785.00000,53,-15
2024.01.24,10:45,16785.00000,16785.00000,16780.00000,16780.00000,6,15
2024.01.24,10:45,16780.00000,16785.20000,16775.00000,16775.00000,34,-15
2024.01.24,10:46,16780.00000,16785.00000,16773.20000,16785.00000,70,-15
2024.01.24,10:47,16785.00000,16790.00000,16778.20000,16790.00000,170,15
2024.01.24,10:50,16790.00000,16795.00000,16788.20000,16795.00000,98,15
2024.01.24,10:52,16795.00000,16800.00000,16787.20000,16800.00000,246,-15
2024.01.24,10:58,16795.00000,16804.20000,16790.00000,16790.00000,45,-15
2024.01.24,11:00,16790.00000,16790.20000,16785.00000,16785.00000,7,-15
2024.01.24,11:00,16790.00000,16795.00000,16783.20000,16795.00000,56,-15
2024.01.24,11:01,16790.00000,16795.20000,16785.00000,16785.00000,166,15
2024.01.24,11:04,16785.00000,16785.20000,16780.00000,16780.00000,48,15
2024.01.24,11:05,16785.00000,16790.00000,16778.20000,16790.00000,202,-15
2024.01.24,11:09,16785.00000,16790.20000,16780.00000,16780.00000,84,15
2024.01.24,11:11,16785.00000,16790.00000,16775.20000,16790.00000,392,15
2024.01.24,11:21,16790.00000,16795.00000,16787.20000,16795.00000,64,15
2024.01.24,11:22,16790.00000,16795.20000,16785.00000,16785.00000,272,-15
2024.01.24,11:31,16790.00000,16795.00000,16782.20000,16795.00000,99,15
2024.01.24,11:34,16795.00000,16800.00000,16794.20000,16800.00000,26,-15
2024.01.24,11:35,16800.00000,16805.00000,16796.20000,16805.00000,65,-15
2024.01.24,11:37,16805.00000,16810.00000,16805.00000,16810.00000,9,15
2024.01.24,11:37,16810.00000,16815.00000,16803.20000,16815.00000,148,15
2024.01.24,11:40,16810.00000,16817.20000,16805.00000,16805.00000,178,-15
2024.01.24,11:45,16805.00000,16810.20000,16800.00000,16800.00000,92,-15
2024.01.24,11:47,16800.00000,16803.20000,16795.00000,16795.00000,33,-15
2024.01.24,11:48,16800.00000,16805.00000,16791.20000,16805.00000,177,-15
2024.01.24,11:55,16805.00000,16810.00000,16804.20000,16810.00000,25,15
2024.01.24,11:57,16810.00000,16815.00000,16807.20000,16815.00000,34,15
2024.01.24,11:59,16810.00000,16819.20000,16805.00000,16805.00000,562,-15
2024.01.24,12:18,16805.00000,16813.20000,16800.00000,16800.00000,193,15
2024.01.24,12:24,16805.00000,16810.00000,16798.20000,16810.00000,127,15
2024.01.24,12:29,16810.00000,16815.00000,16808.20000,16815.00000,34,15
2024.01.24,12:30,16815.00000,16820.00000,16811.20000,16820.00000,237,-15
2024.01.24,12:40,16820.00000,16825.00000,16820.00000,16825.00000,68,15
2024.01.24,12:43,16820.00000,16825.20000,16815.00000,16815.00000,65,-15
2024.01.24,12:45,16815.00000,16819.20000,16810.00000,16810.00000,88,-15
2024.01.24,12:50,16815.00000,16820.00000,16805.20000,16820.00000,159,15
2024.01.24,12:58,16820.00000,16825.00000,16818.20000,16825.00000,43,15
2024.01.24,13:00,16825.00000,16830.00000,16821.20000,16830.00000,135,-15
2024.01.24,13:05,16830.00000,16835.00000,16828.20000,16835.00000,34,-15
2024.01.24,13:07,16835.00000,16840.00000,16834.20000,16840.00000,57,-15
2024.01.24,13:10,16835.00000,16844.00000,16830.00000,16830.00000,216,-15
2024.01.24,13:21,16835.00000,16840.00000,16825.20000,16840.00000,179,15
2024.01.24,13:30,16840.00000,16845.00000,16836.20000,16845.00000,162,15
2024.01.24,13:38,16845.00000,16850.00000,16841.20000,16850.00000,48,-15
2024.01.24,13:41,16845.00000,16853.20000,16840.00000,16840.00000,66,15
2024.01.24,13:44,16840.00000,16842.00000,16835.00000,16835.00000,43,15
2024.01.24,13:45,16840.00000,16845.00000,16830.20000,16845.00000,239,15
2024.01.24,13:59,16845.00000,16850.00000,16844.20000,16850.00000,57,-15
2024.01.24,14:02,16850.00000,16855.00000,16845.20000,16855.00000,110,15
2024.01.24,14:07,16855.00000,16860.00000,16853.20000,16860.00000,93,-15
2024.01.24,14:13,16855.00000,16861.20000,16850.00000,16850.00000,45,-15
2024.01.24,14:16,16850.00000,16857.20000,16845.00000,16845.00000,357,15
2024.01.24,14:29,16850.00000,16855.00000,16844.20000,16855.00000,110,15
2024.01.24,14:34,16855.00000,16860.00000,16851.20000,16860.00000,100,-15
2024.01.24,14:39,16860.00000,16865.00000,16860.00000,16865.00000,11,-15
2024.01.24,14:39,16865.00000,16870.00000,16858.20000,16870.00000,131,-15
2024.01.24,14:47,16870.00000,16875.00000,16869.20000,16875.00000,92,-15
2024.01.24,14:52,16875.00000,16880.00000,16875.00000,16880.00000,35,15
2024.01.24,14:54,16880.00000,16885.00000,16873.20000,16885.00000,307,15
2024.01.24,15:06,16885.00000,16890.00000,16885.00000,16890.00000,35,-15
2024.01.24,15:07,16885.00000,16892.20000,16880.00000,16880.00000,209,15
2024.01.24,15:16,16880.00000,16880.20000,16875.00000,16875.00000,28,15
2024.01.24,15:16,16880.00000,16885.00000,16873.20000,16885.00000,302,15
2024.01.24,15:28,16885.00000,16890.00000,16884.20000,16890.00000,37,-15
2024.01.24,15:29,16890.00000,16895.00000,16886.20000,16895.00000,97,15
2024.01.24,15:32,16895.00000,16900.00000,16885.20000,16900.00000,363,-15
2024.01.24,15:48,16900.00000,16905.00000,16898.20000,16905.00000,85,-15
2024.01.24,15:53,16905.00000,16910.00000,16895.20000,16910.00000,570,15
2024.01.24,16:20,16905.00000,16913.20000,16900.00000,16900.00000,269,15
2024.01.24,16:30,16900.00000,16900.20000,16895.00000,16895.00000,31,-15
2024.01.24,16:30,16900.00000,16905.00000,16893.20000,16905.00000,166,-15
2024.01.24,16:32,16905.00000,16910.00000,16903.20000,16910.00000,102,-15
2024.01.24,16:34,16910.00000,16915.00000,16905.20000,16915.00000,119,-15
